,domain_20
s_016um_00125_00415-1,11
s_016um_00192_00195-1,18
s_016um_00068_00024-1,6
s_016um_00312_00330-1,3
s_016um_00058_00164-1,8
s_016um_00189_00178-1,7
s_016um_00094_00105-1,6
s_016um_00083_00122-1,9
s_016um_00202_00208-1,3
s_016um_00035_00267-1,5
s_016um_00013_00024-1,8
s_016um_00303_00181-1,8
s_016um_00343_00235-1,8
s_016um_00194_00236-1,20
s_016um_00076_00138-1,9
s_016um_00015_00198-1,8
s_016um_00072_00177-1,8
s_016um_00054_00269-1,8
s_016um_00226_00165-1,9
s_016um_00293_00134-1,17
s_016um_00157_00161-1,10
s_016um_00190_00000-1,10
s_016um_00134_00099-1,17
s_016um_00135_00290-1,19
s_016um_00209_00176-1,3
s_016um_00051_00273-1,5
s_016um_00285_00375-1,13
s_016um_00003_00146-1,8
s_016um_00356_00340-1,8
s_016um_00115_00091-1,17
s_016um_00078_00201-1,6
s_016um_00154_00222-1,3
s_016um_00135_00242-1,8
s_016um_00287_00342-1,12
s_016um_00158_00206-1,6
s_016um_00267_00381-1,12
s_016um_00343_00329-1,16
s_016um_00337_00241-1,12
s_016um_00111_00020-1,11
s_016um_00173_00161-1,15
s_016um_00019_00411-1,16
s_016um_00236_00013-1,20
s_016um_00091_00380-1,4
s_016um_00188_00310-1,1
s_016um_00156_00207-1,3
s_016um_00334_00393-1,1
s_016um_00206_00145-1,14
s_016um_00096_00082-1,17
s_016um_00145_00328-1,5
s_016um_00218_00148-1,9
s_016um_00047_00286-1,5
s_016um_00077_00026-1,6
s_016um_00140_00097-1,18
s_016um_00000_00286-1,8
s_016um_00241_00368-1,8
s_016um_00089_00009-1,9
s_016um_00100_00128-1,8
s_016um_00156_00175-1,3
s_016um_00134_00189-1,6
s_016um_00307_00066-1,8
s_016um_00244_00152-1,18
s_016um_00024_00190-1,9
s_016um_00279_00063-1,5
s_016um_00243_00282-1,20
s_016um_00164_00273-1,12
s_016um_00188_00144-1,9
s_016um_00193_00111-1,6
s_016um_00195_00303-1,1
s_016um_00017_00114-1,6
s_016um_00059_00383-1,1
s_016um_00031_00173-1,8
s_016um_00251_00276-1,17
s_016um_00075_00395-1,1
s_016um_00191_00055-1,8
s_016um_00271_00222-1,17
s_016um_00174_00016-1,18
s_016um_00174_00002-1,17
s_016um_00116_00289-1,19
s_016um_00284_00025-1,18
s_016um_00050_00260-1,12
s_016um_00029_00288-1,5
s_016um_00111_00127-1,17
s_016um_00205_00169-1,6
s_016um_00315_00251-1,16
s_016um_00300_00115-1,13
s_016um_00246_00078-1,10
s_016um_00218_00039-1,8
s_016um_00164_00394-1,11
s_016um_00126_00074-1,11
s_016um_00042_00063-1,9
s_016um_00160_00072-1,9
s_016um_00219_00069-1,8
s_016um_00105_00104-1,7
s_016um_00059_00098-1,8
s_016um_00302_00417-1,8
s_016um_00141_00179-1,9
s_016um_00267_00219-1,8
s_016um_00254_00366-1,20
s_016um_00128_00178-1,9
s_016um_00291_00399-1,4
s_016um_00089_00015-1,9
s_016um_00286_00179-1,11
s_016um_00155_00173-1,12
s_016um_00266_00012-1,11
s_016um_00286_00282-1,6
s_016um_00297_00277-1,17
s_016um_00095_00063-1,6
s_016um_00277_00234-1,10
s_016um_00377_00262-1,8
s_016um_00028_00051-1,8
s_016um_00191_00275-1,7
s_016um_00257_00305-1,11
s_016um_00144_00356-1,1
s_016um_00133_00394-1,11
s_016um_00126_00126-1,17
s_016um_00119_00129-1,18
s_016um_00265_00383-1,4
s_016um_00312_00217-1,18
s_016um_00124_00301-1,19
s_016um_00200_00397-1,4
s_016um_00139_00303-1,8
s_016um_00064_00307-1,5
s_016um_00318_00404-1,4
s_016um_00048_00139-1,15
s_016um_00271_00063-1,5
s_016um_00141_00361-1,11
s_016um_00184_00354-1,14
s_016um_00322_00413-1,8
s_016um_00214_00384-1,8
s_016um_00342_00333-1,11
s_016um_00238_00039-1,20
s_016um_00199_00338-1,11
s_016um_00217_00027-1,6
s_016um_00002_00229-1,8
s_016um_00123_00217-1,8
s_016um_00050_00098-1,8
s_016um_00286_00013-1,11
s_016um_00112_00251-1,14
s_016um_00041_00396-1,15
s_016um_00218_00201-1,9
s_016um_00305_00124-1,17
s_016um_00291_00412-1,4
s_016um_00288_00188-1,16
s_016um_00340_00281-1,3
s_016um_00184_00407-1,18
s_016um_00169_00225-1,8
s_016um_00274_00401-1,11
s_016um_00121_00124-1,10
s_016um_00323_00254-1,4
s_016um_00185_00311-1,16
s_016um_00070_00132-1,9
s_016um_00156_00306-1,12
s_016um_00181_00055-1,7
s_016um_00354_00329-1,8
s_016um_00235_00179-1,16
s_016um_00151_00074-1,3
s_016um_00107_00124-1,10
s_016um_00176_00327-1,11
s_016um_00264_00042-1,16
s_016um_00310_00245-1,16
s_016um_00315_00226-1,17
s_016um_00175_00313-1,18
s_016um_00123_00064-1,7
s_016um_00232_00237-1,7
s_016um_00169_00019-1,18
s_016um_00281_00413-1,8
s_016um_00248_00103-1,10
s_016um_00230_00051-1,13
s_016um_00176_00097-1,9
s_016um_00160_00098-1,14
s_016um_00052_00202-1,8
s_016um_00309_00395-1,17
s_016um_00048_00306-1,8
s_016um_00052_00085-1,8
s_016um_00189_00216-1,3
s_016um_00314_00272-1,11
s_016um_00334_00356-1,4
s_016um_00219_00228-1,6
s_016um_00018_00312-1,8
s_016um_00339_00387-1,13
s_016um_00314_00088-1,4
s_016um_00198_00249-1,9
s_016um_00070_00313-1,6
s_016um_00103_00021-1,6
s_016um_00161_00249-1,14
s_016um_00214_00008-1,10
s_016um_00094_00280-1,3
s_016um_00294_00165-1,17
s_016um_00134_00322-1,12
s_016um_00226_00363-1,16
s_016um_00065_00168-1,8
s_016um_00233_00379-1,16
s_016um_00165_00404-1,15
s_016um_00312_00062-1,20
s_016um_00195_00215-1,6
s_016um_00246_00166-1,17
s_016um_00026_00308-1,8
s_016um_00249_00245-1,17
s_016um_00166_00048-1,6
s_016um_00216_00106-1,8
s_016um_00244_00234-1,18
s_016um_00073_00106-1,8
s_016um_00172_00113-1,9
s_016um_00262_00385-1,12
s_016um_00092_00290-1,19
s_016um_00231_00387-1,11
s_016um_00065_00039-1,6
s_016um_00288_00414-1,8
s_016um_00116_00275-1,12
s_016um_00227_00293-1,4
s_016um_00036_00105-1,8
s_016um_00034_00034-1,6
s_016um_00273_00006-1,11
s_016um_00204_00018-1,14
s_016um_00308_00224-1,4
s_016um_00156_00046-1,9
s_016um_00127_00298-1,9
s_016um_00343_00266-1,8
s_016um_00162_00395-1,16
s_016um_00214_00048-1,6
s_016um_00210_00314-1,1
s_016um_00234_00215-1,1
s_016um_00202_00102-1,7
s_016um_00052_00101-1,8
s_016um_00049_00282-1,19
s_016um_00224_00396-1,11
s_016um_00143_00240-1,9
s_016um_00167_00000-1,17
s_016um_00298_00159-1,5
s_016um_00236_00103-1,18
s_016um_00143_00353-1,17
s_016um_00138_00406-1,1
s_016um_00194_00261-1,12
s_016um_00350_00255-1,13
s_016um_00188_00083-1,7
s_016um_00261_00275-1,18
s_016um_00159_00087-1,10
s_016um_00227_00278-1,10
s_016um_00128_00073-1,18
s_016um_00084_00299-1,19
s_016um_00043_00296-1,19
s_016um_00170_00012-1,17
s_016um_00135_00231-1,12
s_016um_00135_00219-1,3
s_016um_00220_00206-1,16
s_016um_00167_00057-1,3
s_016um_00336_00378-1,11
s_016um_00077_00399-1,4
s_016um_00305_00070-1,6
s_016um_00143_00198-1,9
s_016um_00225_00108-1,8
s_016um_00240_00313-1,1
s_016um_00109_00226-1,19
s_016um_00248_00069-1,18
s_016um_00341_00326-1,11
s_016um_00119_00153-1,6
s_016um_00173_00310-1,8
s_016um_00037_00417-1,18
s_016um_00122_00384-1,16
s_016um_00261_00358-1,11
s_016um_00106_00235-1,19
s_016um_00346_00259-1,11
s_016um_00063_00219-1,8
s_016um_00187_00244-1,12
s_016um_00135_00191-1,8
s_016um_00261_00233-1,17
s_016um_00249_00304-1,18
s_016um_00208_00269-1,15
s_016um_00120_00063-1,9
s_016um_00190_00080-1,9
s_016um_00238_00050-1,13
s_016um_00016_00410-1,11
s_016um_00059_00124-1,8
s_016um_00085_00336-1,16
s_016um_00071_00392-1,1
s_016um_00347_00364-1,7
s_016um_00153_00339-1,18
s_016um_00213_00180-1,3
s_016um_00355_00343-1,10
s_016um_00044_00413-1,12
s_016um_00236_00077-1,13
s_016um_00147_00244-1,14
s_016um_00004_00301-1,8
s_016um_00264_00222-1,18
s_016um_00194_00045-1,9
s_016um_00255_00236-1,10
s_016um_00256_00285-1,20
s_016um_00127_00162-1,3
s_016um_00220_00044-1,8
s_016um_00000_00112-1,6
s_016um_00362_00343-1,12
s_016um_00127_00088-1,8
s_016um_00367_00262-1,3
s_016um_00027_00166-1,8
s_016um_00192_00063-1,6
s_016um_00294_00043-1,18
s_016um_00249_00358-1,12
s_016um_00213_00182-1,9
s_016um_00233_00125-1,17
s_016um_00167_00164-1,17
s_016um_00291_00301-1,12
s_016um_00289_00111-1,18
s_016um_00179_00076-1,6
s_016um_00288_00029-1,17
s_016um_00283_00405-1,12
s_016um_00185_00085-1,3
s_016um_00068_00229-1,9
s_016um_00310_00401-1,17
s_016um_00223_00218-1,18
s_016um_00069_00038-1,7
s_016um_00107_00100-1,10
s_016um_00230_00194-1,11
s_016um_00038_00251-1,1
s_016um_00102_00414-1,16
s_016um_00230_00341-1,11
s_016um_00038_00168-1,8
s_016um_00265_00007-1,14
s_016um_00225_00130-1,5
s_016um_00032_00252-1,8
s_016um_00238_00120-1,16
s_016um_00040_00046-1,6
s_016um_00047_00176-1,8
s_016um_00170_00126-1,15
s_016um_00232_00114-1,1
s_016um_00064_00380-1,11
s_016um_00047_00379-1,11
s_016um_00294_00239-1,18
s_016um_00087_00034-1,7
s_016um_00088_00008-1,12
s_016um_00177_00024-1,10
s_016um_00077_00255-1,12
s_016um_00217_00107-1,6
s_016um_00277_00129-1,17
s_016um_00140_00254-1,5
s_016um_00071_00012-1,6
s_016um_00130_00126-1,10
s_016um_00178_00184-1,3
s_016um_00304_00066-1,8
s_016um_00023_00208-1,8
s_016um_00138_00265-1,12
s_016um_00132_00283-1,5
s_016um_00035_00418-1,15
s_016um_00016_00129-1,6
s_016um_00089_00075-1,7
s_016um_00047_00174-1,8
s_016um_00270_00226-1,17
s_016um_00093_00097-1,9
s_016um_00207_00132-1,6
s_016um_00038_00412-1,11
s_016um_00281_00271-1,17
s_016um_00268_00271-1,15
s_016um_00158_00412-1,16
s_016um_00168_00065-1,6
s_016um_00110_00253-1,18
s_016um_00288_00128-1,17
s_016um_00090_00277-1,9
s_016um_00183_00181-1,3
s_016um_00198_00359-1,16
s_016um_00245_00115-1,7
s_016um_00161_00088-1,13
s_016um_00057_00362-1,13
s_016um_00260_00053-1,20
s_016um_00277_00029-1,17
s_016um_00138_00133-1,6
s_016um_00180_00393-1,16
s_016um_00175_00237-1,9
s_016um_00332_00309-1,13
s_016um_00172_00363-1,5
s_016um_00272_00397-1,8
s_016um_00151_00239-1,9
s_016um_00305_00391-1,4
s_016um_00104_00415-1,17
s_016um_00017_00061-1,8
s_016um_00173_00259-1,12
s_016um_00254_00341-1,12
s_016um_00077_00063-1,8
s_016um_00128_00248-1,8
s_016um_00074_00196-1,8
s_016um_00117_00393-1,12
s_016um_00349_00242-1,8
s_016um_00072_00328-1,13
s_016um_00127_00212-1,8
s_016um_00110_00351-1,11
s_016um_00073_00157-1,8
s_016um_00268_00207-1,16
s_016um_00211_00066-1,3
s_016um_00174_00018-1,18
s_016um_00169_00270-1,6
s_016um_00340_00309-1,16
s_016um_00301_00172-1,8
s_016um_00244_00077-1,18
s_016um_00099_00111-1,6
s_016um_00090_00171-1,6
s_016um_00310_00110-1,1
s_016um_00059_00318-1,18
s_016um_00117_00119-1,20
s_016um_00225_00113-1,11
s_016um_00067_00142-1,8
s_016um_00150_00033-1,20
s_016um_00269_00267-1,4
s_016um_00332_00253-1,18
s_016um_00029_00149-1,6
s_016um_00046_00032-1,6
s_016um_00238_00361-1,8
s_016um_00299_00269-1,16
s_016um_00070_00349-1,17
s_016um_00191_00377-1,16
s_016um_00138_00200-1,7
s_016um_00039_00387-1,11
s_016um_00141_00093-1,17
s_016um_00016_00062-1,8
s_016um_00244_00096-1,17
s_016um_00297_00192-1,16
s_016um_00063_00181-1,8
s_016um_00059_00147-1,8
s_016um_00184_00071-1,18
s_016um_00295_00007-1,11
s_016um_00028_00035-1,6
s_016um_00080_00341-1,16
s_016um_00039_00156-1,8
s_016um_00212_00349-1,18
s_016um_00103_00171-1,6
s_016um_00116_00334-1,11
s_016um_00307_00214-1,8
s_016um_00074_00383-1,16
s_016um_00067_00011-1,6
s_016um_00216_00207-1,11
s_016um_00137_00305-1,8
s_016um_00118_00145-1,6
s_016um_00299_00190-1,16
s_016um_00156_00192-1,3
s_016um_00083_00030-1,8
s_016um_00222_00345-1,1
s_016um_00065_00137-1,6
s_016um_00227_00013-1,10
s_016um_00086_00254-1,12
s_016um_00303_00376-1,3
s_016um_00298_00368-1,9
s_016um_00184_00006-1,8
s_016um_00197_00201-1,6
s_016um_00054_00246-1,12
s_016um_00209_00338-1,4
s_016um_00194_00073-1,9
s_016um_00104_00137-1,10
s_016um_00338_00364-1,1
s_016um_00182_00211-1,3
s_016um_00280_00189-1,13
s_016um_00072_00115-1,7
s_016um_00305_00135-1,8
s_016um_00167_00121-1,8
s_016um_00103_00031-1,9
s_016um_00038_00347-1,4
s_016um_00287_00181-1,16
s_016um_00228_00327-1,1
s_016um_00367_00323-1,18
s_016um_00074_00373-1,11
s_016um_00132_00371-1,1
s_016um_00313_00216-1,18
s_016um_00168_00181-1,6
s_016um_00250_00261-1,4
s_016um_00054_00380-1,17
s_016um_00032_00085-1,6
s_016um_00051_00348-1,11
s_016um_00181_00393-1,16
s_016um_00243_00268-1,20
s_016um_00234_00317-1,18
s_016um_00059_00115-1,8
s_016um_00285_00307-1,9
s_016um_00168_00063-1,6
s_016um_00275_00298-1,7
s_016um_00126_00317-1,12
s_016um_00275_00360-1,5
s_016um_00069_00088-1,6
s_016um_00062_00267-1,5
s_016um_00208_00216-1,9
s_016um_00026_00196-1,8
s_016um_00035_00163-1,9
s_016um_00268_00132-1,17
s_016um_00065_00135-1,8
s_016um_00223_00369-1,18
s_016um_00195_00418-1,16
s_016um_00028_00353-1,16
s_016um_00308_00100-1,8
s_016um_00080_00279-1,6
s_016um_00113_00160-1,9
s_016um_00087_00147-1,8
s_016um_00347_00334-1,8
s_016um_00271_00161-1,8
s_016um_00277_00110-1,17
s_016um_00223_00160-1,9
s_016um_00134_00252-1,12
s_016um_00111_00164-1,9
s_016um_00298_00240-1,17
s_016um_00206_00355-1,10
s_016um_00007_00224-1,9
s_016um_00256_00250-1,1
s_016um_00297_00028-1,8
s_016um_00060_00209-1,8
s_016um_00146_00265-1,8
s_016um_00237_00269-1,17
s_016um_00139_00020-1,14
s_016um_00307_00294-1,16
s_016um_00010_00311-1,8
s_016um_00295_00239-1,18
s_016um_00080_00356-1,17
s_016um_00001_00370-1,6
s_016um_00329_00252-1,16
s_016um_00035_00292-1,19
s_016um_00019_00121-1,8
s_016um_00039_00103-1,6
s_016um_00067_00304-1,8
s_016um_00226_00241-1,7
s_016um_00241_00198-1,1
s_016um_00041_00105-1,6
s_016um_00318_00302-1,16
s_016um_00069_00317-1,13
s_016um_00034_00309-1,8
s_016um_00240_00235-1,17
s_016um_00076_00162-1,3
s_016um_00025_00379-1,11
s_016um_00223_00382-1,11
s_016um_00052_00320-1,8
s_016um_00150_00179-1,9
s_016um_00221_00363-1,1
s_016um_00063_00290-1,8
s_016um_00337_00335-1,11
s_016um_00275_00038-1,18
s_016um_00122_00268-1,5
s_016um_00125_00131-1,18
s_016um_00262_00137-1,8
s_016um_00193_00350-1,16
s_016um_00232_00048-1,10
s_016um_00179_00410-1,15
s_016um_00025_00154-1,9
s_016um_00202_00369-1,3
s_016um_00282_00053-1,8
s_016um_00275_00191-1,8
s_016um_00045_00312-1,8
s_016um_00131_00222-1,9
s_016um_00285_00409-1,8
s_016um_00018_00364-1,16
s_016um_00264_00047-1,5
s_016um_00330_00229-1,13
s_016um_00188_00063-1,9
s_016um_00117_00047-1,6
s_016um_00275_00176-1,10
s_016um_00310_00300-1,10
s_016um_00027_00057-1,6
s_016um_00073_00195-1,8
s_016um_00129_00096-1,17
s_016um_00198_00083-1,6
s_016um_00338_00241-1,12
s_016um_00345_00332-1,1
s_016um_00280_00271-1,17
s_016um_00083_00052-1,8
s_016um_00114_00244-1,12
s_016um_00349_00333-1,8
s_016um_00229_00353-1,8
s_016um_00064_00176-1,8
s_016um_00271_00105-1,1
s_016um_00221_00081-1,6
s_016um_00298_00009-1,8
s_016um_00058_00191-1,8
s_016um_00210_00099-1,6
s_016um_00012_00361-1,16
s_016um_00149_00063-1,5
s_016um_00137_00379-1,11
s_016um_00293_00164-1,16
s_016um_00035_00079-1,8
s_016um_00290_00413-1,8
s_016um_00303_00395-1,4
s_016um_00039_00219-1,6
s_016um_00267_00359-1,11
s_016um_00145_00410-1,13
s_016um_00091_00133-1,9
s_016um_00210_00235-1,8
s_016um_00312_00414-1,8
s_016um_00095_00033-1,9
s_016um_00104_00277-1,18
s_016um_00045_00290-1,5
s_016um_00189_00250-1,12
s_016um_00200_00137-1,7
s_016um_00098_00354-1,18
s_016um_00302_00094-1,13
s_016um_00238_00043-1,16
s_016um_00276_00287-1,17
s_016um_00217_00139-1,10
s_016um_00332_00389-1,8
s_016um_00016_00077-1,6
s_016um_00003_00024-1,8
s_016um_00212_00213-1,6
s_016um_00326_00233-1,4
s_016um_00103_00131-1,6
s_016um_00236_00313-1,8
s_016um_00178_00120-1,9
s_016um_00268_00215-1,8
s_016um_00221_00118-1,9
s_016um_00011_00376-1,8
s_016um_00306_00359-1,18
s_016um_00093_00163-1,9
s_016um_00194_00199-1,12
s_016um_00152_00180-1,3
s_016um_00020_00310-1,6
s_016um_00320_00241-1,11
s_016um_00072_00068-1,6
s_016um_00197_00094-1,7
s_016um_00203_00041-1,6
s_016um_00133_00415-1,1
s_016um_00295_00403-1,1
s_016um_00294_00225-1,8
s_016um_00288_00219-1,17
s_016um_00209_00106-1,6
s_016um_00178_00324-1,11
s_016um_00020_00090-1,6
s_016um_00004_00125-1,8
s_016um_00218_00162-1,7
s_016um_00080_00300-1,19
s_016um_00322_00382-1,16
s_016um_00024_00116-1,6
s_016um_00035_00215-1,6
s_016um_00211_00241-1,6
s_016um_00229_00226-1,10
s_016um_00241_00103-1,11
s_016um_00240_00051-1,20
s_016um_00118_00308-1,8
s_016um_00040_00191-1,8
s_016um_00360_00329-1,11
s_016um_00261_00027-1,18
s_016um_00182_00267-1,9
s_016um_00160_00342-1,10
s_016um_00249_00057-1,8
s_016um_00280_00324-1,17
s_016um_00000_00038-1,8
s_016um_00284_00205-1,8
s_016um_00330_00339-1,17
s_016um_00258_00076-1,17
s_016um_00269_00391-1,18
s_016um_00069_00298-1,19
s_016um_00047_00330-1,18
s_016um_00289_00062-1,8
s_016um_00078_00291-1,5
s_016um_00170_00010-1,1
s_016um_00248_00236-1,18
s_016um_00147_00243-1,14
s_016um_00023_00246-1,9
s_016um_00044_00351-1,8
s_016um_00195_00179-1,17
s_016um_00240_00374-1,4
s_016um_00165_00180-1,9
s_016um_00096_00287-1,11
s_016um_00092_00278-1,9
s_016um_00178_00366-1,9
s_016um_00265_00354-1,11
s_016um_00171_00030-1,11
s_016um_00052_00282-1,18
s_016um_00187_00140-1,9
s_016um_00011_00370-1,11
s_016um_00142_00304-1,19
s_016um_00215_00314-1,13
s_016um_00102_00094-1,18
s_016um_00094_00164-1,9
s_016um_00291_00098-1,18
s_016um_00297_00239-1,11
s_016um_00324_00326-1,17
s_016um_00326_00252-1,16
s_016um_00292_00055-1,11
s_016um_00229_00279-1,17
s_016um_00018_00181-1,8
s_016um_00217_00193-1,10
s_016um_00133_00100-1,1
s_016um_00302_00360-1,15
s_016um_00278_00205-1,5
s_016um_00324_00281-1,12
s_016um_00307_00206-1,13
s_016um_00046_00034-1,6
s_016um_00076_00338-1,19
s_016um_00110_00412-1,1
s_016um_00082_00302-1,19
s_016um_00119_00355-1,13
s_016um_00220_00221-1,12
s_016um_00299_00044-1,18
s_016um_00333_00372-1,1
s_016um_00074_00274-1,12
s_016um_00280_00345-1,20
s_016um_00023_00197-1,8
s_016um_00344_00366-1,8
s_016um_00044_00051-1,6
s_016um_00341_00380-1,13
s_016um_00141_00292-1,8
s_016um_00047_00210-1,8
s_016um_00223_00011-1,12
s_016um_00184_00172-1,9
s_016um_00268_00375-1,12
s_016um_00049_00396-1,17
s_016um_00223_00147-1,12
s_016um_00195_00358-1,16
s_016um_00368_00238-1,11
s_016um_00184_00117-1,9
s_016um_00191_00006-1,10
s_016um_00302_00168-1,9
s_016um_00000_00415-1,8
s_016um_00376_00246-1,11
s_016um_00076_00065-1,8
s_016um_00231_00363-1,8
s_016um_00042_00159-1,9
s_016um_00141_00231-1,8
s_016um_00056_00224-1,8
s_016um_00040_00042-1,8
s_016um_00183_00063-1,9
s_016um_00357_00333-1,11
s_016um_00190_00271-1,7
s_016um_00058_00274-1,8
s_016um_00138_00021-1,6
s_016um_00228_00037-1,9
s_016um_00288_00264-1,18
s_016um_00215_00243-1,5
s_016um_00243_00151-1,17
s_016um_00042_00248-1,12
s_016um_00244_00031-1,14
s_016um_00219_00222-1,16
s_016um_00272_00406-1,8
s_016um_00090_00156-1,9
s_016um_00266_00101-1,5
s_016um_00229_00283-1,14
s_016um_00095_00135-1,9
s_016um_00026_00190-1,8
s_016um_00207_00237-1,3
s_016um_00149_00357-1,17
s_016um_00003_00299-1,8
s_016um_00255_00112-1,10
s_016um_00078_00265-1,5
s_016um_00176_00074-1,8
s_016um_00262_00321-1,16
s_016um_00165_00105-1,8
s_016um_00000_00197-1,8
s_016um_00178_00321-1,1
s_016um_00303_00197-1,12
s_016um_00042_00291-1,8
s_016um_00267_00003-1,8
s_016um_00002_00173-1,9
s_016um_00278_00058-1,18
s_016um_00089_00164-1,9
s_016um_00169_00110-1,20
s_016um_00253_00046-1,10
s_016um_00312_00060-1,13
s_016um_00280_00256-1,11
s_016um_00283_00005-1,11
s_016um_00046_00030-1,6
s_016um_00217_00003-1,8
s_016um_00150_00216-1,20
s_016um_00144_00309-1,8
s_016um_00354_00317-1,11
s_016um_00116_00103-1,7
s_016um_00111_00358-1,17
s_016um_00051_00070-1,8
s_016um_00050_00216-1,8
s_016um_00028_00189-1,8
s_016um_00114_00088-1,18
s_016um_00363_00307-1,8
s_016um_00224_00051-1,6
s_016um_00314_00348-1,11
s_016um_00087_00009-1,6
s_016um_00117_00074-1,18
s_016um_00200_00024-1,18
s_016um_00086_00383-1,4
s_016um_00161_00371-1,17
s_016um_00168_00018-1,18
s_016um_00120_00042-1,3
s_016um_00138_00188-1,6
s_016um_00266_00055-1,18
s_016um_00152_00066-1,8
s_016um_00251_00379-1,8
s_016um_00163_00095-1,20
s_016um_00094_00041-1,8
s_016um_00084_00285-1,5
s_016um_00079_00033-1,6
s_016um_00280_00076-1,11
s_016um_00040_00093-1,8
s_016um_00132_00377-1,11
s_016um_00017_00065-1,8
s_016um_00210_00133-1,9
s_016um_00037_00086-1,8
s_016um_00176_00018-1,7
s_016um_00113_00224-1,9
s_016um_00139_00031-1,9
s_016um_00059_00111-1,8
s_016um_00156_00203-1,6
s_016um_00316_00327-1,20
s_016um_00088_00071-1,15
s_016um_00233_00183-1,10
s_016um_00037_00247-1,19
s_016um_00314_00384-1,17
s_016um_00014_00277-1,12
s_016um_00217_00111-1,9
s_016um_00020_00086-1,6
s_016um_00056_00067-1,6
s_016um_00176_00207-1,3
s_016um_00185_00128-1,9
s_016um_00191_00037-1,9
s_016um_00028_00153-1,8
s_016um_00026_00239-1,9
s_016um_00042_00273-1,8
s_016um_00140_00214-1,9
s_016um_00172_00133-1,15
s_016um_00267_00207-1,10
s_016um_00253_00172-1,14
s_016um_00294_00287-1,1
s_016um_00150_00361-1,17
s_016um_00028_00335-1,8
s_016um_00041_00072-1,6
s_016um_00178_00245-1,8
s_016um_00125_00339-1,12
s_016um_00207_00270-1,15
s_016um_00198_00162-1,7
s_016um_00111_00063-1,9
s_016um_00143_00279-1,9
s_016um_00339_00364-1,12
s_016um_00101_00281-1,8
s_016um_00037_00364-1,11
s_016um_00340_00326-1,11
s_016um_00018_00078-1,9
s_016um_00058_00087-1,6
s_016um_00163_00413-1,16
s_016um_00193_00309-1,13
s_016um_00074_00384-1,16
s_016um_00172_00356-1,15
s_016um_00179_00206-1,6
s_016um_00091_00005-1,8
s_016um_00333_00257-1,16
s_016um_00235_00333-1,8
s_016um_00221_00106-1,12
s_016um_00177_00077-1,6
s_016um_00015_00188-1,8
s_016um_00216_00138-1,6
s_016um_00126_00121-1,18
s_016um_00140_00041-1,9
s_016um_00008_00175-1,6
s_016um_00251_00362-1,16
s_016um_00291_00109-1,11
s_016um_00055_00084-1,8
s_016um_00138_00064-1,17
s_016um_00252_00075-1,14
s_016um_00052_00137-1,6
s_016um_00081_00088-1,9
s_016um_00272_00335-1,13
s_016um_00054_00321-1,12
s_016um_00195_00335-1,1
s_016um_00150_00003-1,18
s_016um_00327_00352-1,11
s_016um_00025_00242-1,15
s_016um_00019_00159-1,6
s_016um_00103_00034-1,9
s_016um_00132_00319-1,18
s_016um_00257_00018-1,18
s_016um_00299_00409-1,7
s_016um_00158_00082-1,6
s_016um_00219_00141-1,6
s_016um_00231_00254-1,12
s_016um_00014_00188-1,8
s_016um_00042_00322-1,6
s_016um_00218_00225-1,12
s_016um_00009_00241-1,18
s_016um_00354_00273-1,6
s_016um_00149_00227-1,15
s_016um_00157_00133-1,18
s_016um_00089_00042-1,9
s_016um_00185_00327-1,10
s_016um_00098_00250-1,12
s_016um_00021_00205-1,8
s_016um_00104_00026-1,7
s_016um_00197_00324-1,16
s_016um_00337_00361-1,16
s_016um_00245_00357-1,8
s_016um_00038_00325-1,8
s_016um_00341_00278-1,13
s_016um_00207_00206-1,8
s_016um_00332_00226-1,5
s_016um_00158_00353-1,18
s_016um_00129_00277-1,5
s_016um_00099_00016-1,18
s_016um_00248_00052-1,18
s_016um_00050_00273-1,8
s_016um_00283_00002-1,16
s_016um_00250_00321-1,1
s_016um_00013_00371-1,11
s_016um_00170_00042-1,7
s_016um_00265_00312-1,1
s_016um_00304_00021-1,8
s_016um_00270_00116-1,11
s_016um_00076_00184-1,8
s_016um_00330_00280-1,4
s_016um_00239_00375-1,1
s_016um_00049_00159-1,3
s_016um_00080_00370-1,20
s_016um_00190_00392-1,9
s_016um_00150_00113-1,17
s_016um_00350_00311-1,8
s_016um_00170_00308-1,11
s_016um_00087_00160-1,9
s_016um_00217_00211-1,10
s_016um_00127_00317-1,12
s_016um_00207_00103-1,3
s_016um_00319_00303-1,16
s_016um_00161_00346-1,17
s_016um_00055_00348-1,11
s_016um_00256_00230-1,17
s_016um_00126_00378-1,16
s_016um_00296_00272-1,1
s_016um_00170_00208-1,6
s_016um_00301_00096-1,11
s_016um_00135_00317-1,19
s_016um_00128_00076-1,17
s_016um_00187_00278-1,9
s_016um_00295_00218-1,10
s_016um_00292_00224-1,11
s_016um_00201_00085-1,6
s_016um_00308_00102-1,8
s_016um_00110_00156-1,3
s_016um_00001_00136-1,8
s_016um_00158_00098-1,5
s_016um_00251_00350-1,4
s_016um_00118_00069-1,7
s_016um_00063_00023-1,8
s_016um_00242_00330-1,5
s_016um_00206_00120-1,3
s_016um_00103_00349-1,11
s_016um_00232_00034-1,6
s_016um_00014_00224-1,8
s_016um_00221_00356-1,20
s_016um_00098_00185-1,7
s_016um_00047_00169-1,8
s_016um_00186_00344-1,16
